token_id	speaker	tu_id	span	form	type	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	???	0	xxx	x	unknown	_	Begin=0.0	_	_	_	_
0-1	???	0	adesso	adesso	linguistic	_	_	_	_	_	_
0-2	???	0	xxx	x	unknown	_	End=1.747	_	_	_	_
1-0	???	1	c'	c'	linguistic	SpaceAfter=No	Begin=1.781	_	_	_	_
1-1	???	1	era	era	linguistic	_	_	_	_	_	_
1-2	???	1	lei	lei	linguistic	_	_	_	_	_	_
1-3	???	1	che	che	linguistic	_	_	_	_	_	_
1-4	???	1	comunque	comunque	linguistic	_	_	_	_	_	_
1-5	???	1	xxx	x	unknown	_	End=5.374	_	_	_	_
2-0	TO070	2	allora	allora	linguistic	_	Begin=5.374	_	_	_	_
2-1	TO070	2	preferite	preferite	linguistic	_	_	_	_	_	_
2-2	TO070	2	sempre	sempre	linguistic	_	_	_	_	_	_
2-3	TO070	2	se	se	linguistic	_	_	_	_	_	_
2-4	TO070	2	uso	uso	linguistic	_	_	_	_	_	_
2-5	TO070	2	il	il	linguistic	_	_	_	_	_	_
2-6	TO070	2	microfono?	microfono	linguistic	Intonation=Rising	_	_	_	_	_
2-7	TO070	2	almeno	almeno	linguistic	_	_	_	_	_	_
2-8	TO070	2	per	per	linguistic	_	_	_	_	_	_
2-9	TO070	2	iniziare?	iniziare	linguistic	Intonation=Rising	End=8.88	_	_	_	_
3-0	TO070	3	va	va	linguistic	_	Begin=9.233	_	_	_	_
3-1	TO070	3	bene	bene	linguistic	_	End=9.84	_	_	_	_
4-0	TO070	4	sì	sì	linguistic	_	Begin=12.02	_	_	_	_
4-1	TO070	4	in	in	linguistic	_	_	_	_	_	_
4-2	TO070	4	fondo	fondo	linguistic	_	End=12.87	_	_	_	_
5-0	TO070	5	è	è	linguistic	_	Begin=13.8	_	_	_	_
5-1	TO070	5	meglio	meglio	linguistic	_	_	_	_	_	_
5-2	TO070	5	anche	anche	linguistic	_	_	_	_	_	_
5-3	TO070	5	per	per	linguistic	_	_	_	_	_	_
5-4	TO070	5	me	me	linguistic	_	_	_	_	_	_
5-5	TO070	5	perché	perché	linguistic	_	_	_	_	_	_
5-6	TO070	5	mi	mi	linguistic	_	_	_	_	_	_
5-7	TO070	5	dà	dà	linguistic	_	_	_	_	_	_
5-8	TO070	5	sempre	sempre	linguistic	_	_	_	_	_	_
5-9	TO070	5	fastidio	fastidio	linguistic	_	_	_	_	_	_
5-10	TO070	5	tenerlo	tenerlo	linguistic	_	_	_	_	_	_
5-11	TO070	5	però	però	linguistic	_	_	_	_	_	_
5-12	TO070	5	in	in	linguistic	_	_	_	_	_	_
